m/z, I
501.15440, 124545
501.19079, 566273
501.22715, 122689
502.19404, 192964
502.19849, 77732
503.17000, 311558
503.20637, 675590
503.40942, 72711
504.17337, 96905
504.17777, 85449
504.20978, 225225
504.21423, 79753
505.18565, 517387
505.22205, 609547
506.18904, 187277
506.19348, 84781
506.22545, 235917
507.16495, 122735
507.18028, 72063
507.20137, 416911
507.23781, 164303
508.20470, 128178
509.18064, 179284
509.19599, 100180
509.21707, 177940
510.19089, 85974
511.17519, 164504
511.19627, 79864
511.21160, 135576
513.15449, 76028
513.19085, 281116
513.22728, 96284
514.19414, 103390
514.22202, 74046
514.48278, 509470
514.48882, 297886
515.17011, 222944
515.20650, 289824
515.41281, 475424
516.20979, 82913
516.41616, 164002
516.48940, 98658
517.18572, 457251
517.22211, 212387
518.18010, 96709
518.18662, 83045
518.18906, 137061
518.22548, 72341
519.16504, 79815
519.20137, 522023
519.23779, 106439
520.20468, 166568
521.18065, 159082
521.21706, 316074
522.22033, 103628
523.17519, 87181
523.19628, 231789
523.21159, 74061
523.23264, 147693
524.19967, 72175
525.19082, 170672
527.17009, 99347
527.20646, 198707
529.18570, 170997
529.22209, 155509
530.18899, 73687
530.22539, 72887
531.20133, 183416
531.23777, 93336
533.18049, 146298
533.21697, 153722
535.19621, 287164
535.23256, 74908
536.19958, 110365
537.19093, 96670
537.21196, 208254
538.22072, 103455
538.22767, 78175
539.20650, 133504
539.22758, 92704
541.18568, 102017
541.22203, 113953
542.17896, 156290
542.18592, 131458
543.20132, 194499
543.23770, 80035
544.19202, 72003
544.19448, 427843
544.20151, 373187
545.18060, 77604
545.21698, 134532
546.20104, 82212
546.21008, 352836
546.21714, 297797
547.19629, 100517
547.23264, 92293
549.21183, 92326
551.20648, 87335
553.18576, 86535
553.22221, 103527
555.20124, 127624
557.21702, 136392
559.19626, 99528
559.23268, 80584
561.21190, 78088
565.18572, 81673
565.22211, 78793
566.17761, 112649
566.18532, 82633
566.25047, 70505
567.20149, 137225
567.23787, 73993
568.19308, 136073
568.20095, 106345
569.21701, 176457
570.20869, 361033
570.21650, 261833
570.54252, 222345
570.54994, 123273
571.19636, 100937
571.23271, 93257
572.21530, 77545
572.22382, 128105
573.21188, 92585
574.23974, 145289
574.24767, 109865
578.19810, 130057
578.20607, 118729
579.20132, 100138
581.21706, 202762
582.22044, 68682
583.19608, 85002
583.23257, 157194
585.21196, 124395
587.22753, 72780
593.21698, 126031
594.20752, 194448
594.21591, 140304
595.19628, 70161
595.23262, 187153
596.22288, 116242
596.23146, 84850
596.23601, 76850
597.21199, 178067
597.24840, 106995
598.23848, 326612
598.24706, 237780
599.22761, 128021
